 year,method,Value
1965,Geo Biomass Other - TWh,17.9852314
1966,Geo Biomass Other - TWh,19.80600739
1967,Geo Biomass Other - TWh,19.98657036
1968,Geo Biomass Other - TWh,22.12004471
1969,Geo Biomass Other - TWh,23.25796509
1970,Geo Biomass Other - TWh,25.70189667
1971,Geo Biomass Other - TWh,27.88829422
1972,Geo Biomass Other - TWh,29.88877487
1973,Geo Biomass Other - TWh,32.0958519
1974,Geo Biomass Other - TWh,34.28908539
1975,Geo Biomass Other - TWh,34.81208038
1976,Geo Biomass Other - TWh,38.79104996
1977,Geo Biomass Other - TWh,40.89204025
1978,Geo Biomass Other - TWh,43.29664993
1979,Geo Biomass Other - TWh,46.49925613
1980,Geo Biomass Other - TWh,49.71746445
1981,Geo Biomass Other - TWh,53.48617172
1982,Geo Biomass Other - TWh,61.70895386
1983,Geo Biomass Other - TWh,68.35492706
1984,Geo Biomass Other - TWh,76.34615326
1985,Geo Biomass Other - TWh,79.07157898
1986,Geo Biomass Other - TWh,85.91538239
1987,Geo Biomass Other - TWh,91.96002197
1988,Geo Biomass Other - TWh,94.60190582
1989,Geo Biomass Other - TWh,104.530365
1990,Geo Biomass Other - TWh,117.1966019
1991,Geo Biomass Other - TWh,122.2344055
1992,Geo Biomass Other - TWh,131.1373444
1993,Geo Biomass Other - TWh,135.5193176
1994,Geo Biomass Other - TWh,140.6436768
1995,Geo Biomass Other - TWh,146.6167297
1996,Geo Biomass Other - TWh,150.6828918
1997,Geo Biomass Other - TWh,161.3907318
1998,Geo Biomass Other - TWh,168.1891022
1999,Geo Biomass Other - TWh,176.6198425
2000,Geo Biomass Other - TWh,184.7501984
2001,Geo Biomass Other - TWh,191.894104
2002,Geo Biomass Other - TWh,206.54245
2003,Geo Biomass Other - TWh,218.1429443
2004,Geo Biomass Other - TWh,235.696228
2005,Geo Biomass Other - TWh,255.0817108
2006,Geo Biomass Other - TWh,271.760437
2007,Geo Biomass Other - TWh,294.8430786
